province,city,district,street,community,full_address,lat,lng
福建省,厦门市,海沧区,嵩屿街道沧虹路331号,汇利花园A栋,福建省厦门市海沧区嵩屿街道沧虹路331号汇利花园A栋,24.49798,118.03758
福建省,厦门市,湖里区,殿前街道,殿前五组,福建省厦门市湖里区殿前街道殿前五组,24.522249,118.105911
福建省,厦门市,湖里区,江头街道,乌石浦二期花园小区109号,福建省厦门市湖里区江头街道乌石浦二期花园小区109号,24.504488,118.129603
福建省,厦门市,翔安区,,锦绣祥安小区一期8号楼,福建省厦门市翔安区锦绣祥安小区一期8号楼,24.65724,118.25766
福建省,厦门市,翔安区,,五星三里4号楼,福建省厦门市翔安区马巷镇五星三里4号楼,24.655949,118.259209
福建省,厦门市,集美区,杏林街道,中海寰宇天下小区,福建省厦门市集美区杏林街道中海寰宇天下小区,24.560064,118.062218
福建省,厦门市,集美区,,聚镇10栋,福建省厦门市集美区聚镇10栋,24.58091,118.028816
福建省,厦门市,集美区,,龙湖春江郦城2期,福建省厦门市集美区龙湖春江郦城2期,24.583731,118.051826
福建省,厦门市,集美区,侨英街道,叶厝田乾里,福建省厦门市集美区侨英街道叶厝田乾里,24.59964,118.109901
福建省,漳州市,龙海市,,明发广场,福建省漳州市龙海市石码镇明发广场,24.43498,117.807411
福建省,漳州市,长泰县,,,福建省漳州市长泰县林墩工业区江都村,24.763309,117.908279
福建省,漳州市,长泰县,,,福建省漳州市长泰县林墩工业区美宫村,24.80678,117.943443
福建省,漳州市,东山县,,,福建省漳州市东山县康美镇城安村,23.73872,117.500793
福建省,漳州市,芗城区,,上江名都,福建省漳州市芗城区上江名都,24.50251,117.651352
福建省,漳州市,芗城区,,丹霞商贸城,福建省漳州市芗城区丹霞商贸城,24.507641,117.672203
福建省,漳州市,芗城区,,人民里25号,福建省漳州市芗城区人民里25号,24.507698,117.660774
福建省,漳州市,芗城区,,巷口社区后港,福建省漳州市芗城区巷口社区后港,24.509014,117.667877
福建省,漳州市,芗城区,,新浦路6号,福建省漳州市芗城区新浦路6号,24.50541,117.66109
福建省,漳州市,芗城区,,永鸿国际城,福建省漳州市芗城区永鸿国际城,24.523855,117.623466
